"sd_group","date","year","month","avrain"
"Central West",1901-09-01,1901,9,24.3875912408759
"Central West",1901-10-01,1901,10,60.729197080292
"Central West",1901-11-01,1901,11,21.1167883211679
"Central West",1901-12-01,1901,12,3.72262773722628
"Central West",1902-01-01,1902,1,15.5204379562044
"Central West",1902-02-01,1902,2,4.96496350364964
"Central West",1902-03-01,1902,3,36.2686131386861
"Central West",1902-04-01,1902,4,3.56496350364963
"Central West",1902-05-01,1902,5,4.00875912408759
"Central West",1902-06-01,1902,6,18.4686131386861
"Central West",1902-07-01,1902,7,29.9182481751825
"Central West",1902-08-01,1902,8,32.5766423357664
"Central West",1902-09-01,1902,9,30.6102189781022
"Central West",1902-10-01,1902,10,42.2481751824818
"Central West",1902-11-01,1902,11,29.7686131386861
"Central West",1902-12-01,1902,12,83.9
"Central West",1903-01-01,1903,1,15.2094890510949
"Central West",1903-02-01,1903,2,8.45547445255475
"Central West",1903-03-01,1903,3,51.6401459854015
"Central West",1903-04-01,1903,4,77.3430656934307
"Central West",1903-05-01,1903,5,35.1788321167883
"Central West",1903-06-01,1903,6,39.7094890510949
"Central West",1903-07-01,1903,7,48.0802919708029
"Central West",1903-08-01,1903,8,29.8182481751825
"Central West",1903-09-01,1903,9,101.064233576642
"Central West",1903-10-01,1903,10,48.3058394160584
"Central West",1903-11-01,1903,11,26.1306569343066
"Central West",1903-12-01,1903,12,66.4832116788321
"Central West",1904-01-01,1904,1,65.029197080292
"Central West",1904-02-01,1904,2,31.7824817518248
"Central West",1904-03-01,1904,3,29.7700729927007
"Central West",1904-04-01,1904,4,33.7890510948905
"Central West",1904-05-01,1904,5,33.0583941605839
"Central West",1904-06-01,1904,6,18.7963503649635
"Central West",1904-07-01,1904,7,119.313138686131
"Central West",1904-08-01,1904,8,29.2401459854015
"Central West",1904-09-01,1904,9,18.0883211678832
"Central West",1904-10-01,1904,10,66.8788321167883
"Central West",1904-11-01,1904,11,15.1970802919708
"Central West",1904-12-01,1904,12,48.021897810219
"Central West",1905-01-01,1905,1,19.3313868613139
"Central West",1905-02-01,1905,2,38.6211678832117
"Central West",1905-03-01,1905,3,37.2810218978102
"Central West",1905-04-01,1905,4,143.336496350365
"Central West",1905-05-01,1905,5,58.3313868613139
"Central West",1905-06-01,1905,6,59.0890510948905
"Central West",1905-07-01,1905,7,49.1948905109489
"Central West",1905-08-01,1905,8,24.6321167883212
"Central West",1905-09-01,1905,9,27.4350364963504
"Central West",1905-10-01,1905,10,66.3620437956205
"Central West",1905-11-01,1905,11,11.0905109489051
"Central West",1905-12-01,1905,12,25.0474452554745
"Central West",1906-01-01,1906,1,17.0087591240876
"Central West",1906-02-01,1906,2,29.8182481751825
"Central West",1906-03-01,1906,3,97.5335766423358
"Central West",1906-04-01,1906,4,20.2802919708029
"Central West",1906-05-01,1906,5,50.048905109489
"Central West",1906-06-01,1906,6,55.3394160583941
"Central West",1906-07-01,1906,7,19.9518248175182
"Central West",1906-08-01,1906,8,72.3000000000001
"Central West",1906-09-01,1906,9,96.1218978102189
"Central West",1906-10-01,1906,10,77.2956204379562
"Central West",1906-11-01,1906,11,60.0875912408759
"Central West",1906-12-01,1906,12,36.3912408759124
"Central West",1907-01-01,1907,1,65.7204379562044
"Central West",1907-02-01,1907,2,23.0430656934307
"Central West",1907-03-01,1907,3,48.0167883211679
"Central West",1907-04-01,1907,4,25.151094890511
"Central West",1907-05-01,1907,5,11.1153284671533
"Central West",1907-06-01,1907,6,54.4518248175183
"Central West",1907-07-01,1907,7,33.9686131386861
"Central West",1907-08-01,1907,8,52.1343065693431
"Central West",1907-09-01,1907,9,27.8496350364964
"Central West",1907-10-01,1907,10,22.2503649635036
"Central West",1907-11-01,1907,11,65.0941605839416
"Central West",1907-12-01,1907,12,56.9211678832117
"Central West",1908-01-01,1908,1,49.6832116788321
"Central West",1908-02-01,1908,2,93.2109489051095
"Central West",1908-03-01,1908,3,9.94014598540146
"Central West",1908-04-01,1908,4,25.6686131386861
"Central West",1908-05-01,1908,5,21.9167883211679
"Central West",1908-06-01,1908,6,38.0459854014599
"Central West",1908-07-01,1908,7,38.9547445255474
"Central West",1908-08-01,1908,8,49.5890510948905
"Central West",1908-09-01,1908,9,51.1021897810219
"Central West",1908-10-01,1908,10,18.9394160583942
"Central West",1908-11-01,1908,11,41.7109489051095
"Central West",1908-12-01,1908,12,19.1043795620438
"Central West",1909-01-01,1909,1,51.7934306569343
"Central West",1909-02-01,1909,2,76.1941605839416
"Central West",1909-03-01,1909,3,36.1343065693431
"Central West",1909-04-01,1909,4,29.0036496350365
"Central West",1909-05-01,1909,5,35.5759124087591
"Central West",1909-06-01,1909,6,79.4839416058394
"Central West",1909-07-01,1909,7,17.7693430656934
"Central West",1909-08-01,1909,8,70.485401459854
"Central West",1909-09-01,1909,9,38.3459854014599
"Central West",1909-10-01,1909,10,33.7262773722628
"Central West",1909-11-01,1909,11,22.1167883211679
"Central West",1909-12-01,1909,12,58.0051094890511
"Central West",1910-01-01,1910,1,121.559854014598
"Central West",1910-02-01,1910,2,4.17299270072993
"Central West",1910-03-01,1910,3,72.9620437956205
"Central West",1910-04-01,1910,4,8.77591240875913
"Central West",1910-05-01,1910,5,24.9540145985401
"Central West",1910-06-01,1910,6,71.1306569343065
"Central West",1910-07-01,1910,7,58.2343065693431
"Central West",1910-08-01,1910,8,14.9919708029197
"Central West",1910-09-01,1910,9,43.758394160584
"Central West",1910-10-01,1910,10,37.1671532846715
"Central West",1910-11-01,1910,11,38.9802919708029
"Central West",1910-12-01,1910,12,62.6518248175182
"Central West",1911-01-01,1911,1,127.273722627737
"Central West",1911-02-01,1911,2,87.0131386861314
"Central West",1911-03-01,1911,3,43.4620437956204
"Central West",1911-04-01,1911,4,10.3357664233577
"Central West",1911-05-01,1911,5,56.5021897810219
"Central West",1911-06-01,1911,6,31.8131386861314
"Central West",1911-07-01,1911,7,49.1408759124088
"Central West",1911-08-01,1911,8,26.1262773722628
"Central West",1911-09-01,1911,9,45.870802919708
"Central West",1911-10-01,1911,10,19.8306569343066
"Central West",1911-11-01,1911,11,72.4722627737226
"Central West",1911-12-01,1911,12,87.9262773722628
"Central West",1912-01-01,1912,1,17.985401459854
"Central West",1912-02-01,1912,2,29.1656934306569
"Central West",1912-03-01,1912,3,17.3569343065693
"Central West",1912-04-01,1912,4,6.86423357664233
"Central West",1912-05-01,1912,5,5.90583941605839
"Central West",1912-06-01,1912,6,64.0759124087591
"Central West",1912-07-01,1912,7,116.597810218978
"Central West",1912-08-01,1912,8,78.5598540145985
"Central West",1912-09-01,1912,9,29.236496350365
"Central West",1912-10-01,1912,10,32.2715328467153
"Central West",1912-11-01,1912,11,25.8299270072993
"Central West",1912-12-01,1912,12,30.6386861313869
"Central West",1913-01-01,1913,1,37.1532846715329
"Central West",1913-02-01,1913,2,47.3306569343066
"Central West",1913-03-01,1913,3,95.9080291970803
"Central West",1913-04-01,1913,4,38.370802919708
"Central West",1913-05-01,1913,5,99.170802919708
"Central West",1913-06-01,1913,6,67.9255474452555
"Central West",1913-07-01,1913,7,17.7094890510949
"Central West",1913-08-01,1913,8,15.9416058394161
"Central West",1913-09-01,1913,9,24.9810218978102
"Central West",1913-10-01,1913,10,50.4372262773722
"Central West",1913-11-01,1913,11,11.2051094890511
"Central West",1913-12-01,1913,12,24.9496350364964
"Central West",1914-01-01,1914,1,33.7766423357664
"Central West",1914-02-01,1914,2,31.121897810219
"Central West",1914-03-01,1914,3,72.1211678832116
"Central West",1914-04-01,1914,4,31.4481751824817
"Central West",1914-05-01,1914,5,36.5284671532847
"Central West",1914-06-01,1914,6,28.8350364963504
"Central West",1914-07-01,1914,7,39.814598540146
"Central West",1914-08-01,1914,8,2.42408759124088
"Central West",1914-09-01,1914,9,27.7671532846715
"Central West",1914-10-01,1914,10,32.178102189781
"Central West",1914-11-01,1914,11,66.1350364963504
"Central West",1914-12-01,1914,12,79.6751824817518
"Central West",1915-01-01,1915,1,12.4985401459854
"Central West",1915-02-01,1915,2,19.5240875912409
"Central West",1915-03-01,1915,3,28.3678832116788
"Central West",1915-04-01,1915,4,21.4956204379562
"Central West",1915-05-01,1915,5,69.0897810218978
"Central West",1915-06-01,1915,6,57.4051094890511
"Central West",1915-07-01,1915,7,54.0211678832117
"Central West",1915-08-01,1915,8,45.9160583941606
"Central West",1915-09-01,1915,9,40.3788321167883
"Central West",1915-10-01,1915,10,42.9240875912409
"Central West",1915-11-01,1915,11,2.13284671532847
"Central West",1915-12-01,1915,12,47.6839416058394
"Central West",1916-01-01,1916,1,37.4102189781022
"Central West",1916-02-01,1916,2,27.8985401459854
"Central West",1916-03-01,1916,3,18.692700729927
"Central West",1916-04-01,1916,4,80.7437956204379
"Central West",1916-05-01,1916,5,17.607299270073
"Central West",1916-06-01,1916,6,137.736496350365
"Central West",1916-07-01,1916,7,78.9693430656934
"Central West",1916-08-01,1916,8,78.2204379562044
"Central West",1916-09-01,1916,9,68.7496350364963
"Central West",1916-10-01,1916,10,102.716788321168
"Central West",1916-11-01,1916,11,79.0649635036497
"Central West",1916-12-01,1916,12,88.9941605839417
"Central West",1917-01-01,1917,1,70.1627737226277
"Central West",1917-02-01,1917,2,56.5824817518248
