MONTH;YEAR;presion;tmed;rh;tmax;tmin;viento;insol;precip;eto
3;2011;1017.2;17.4;40;24.3;10.5;2.5;8.4;12.4;142.6
4;2011;1011.2;23.6;37;30.2;17;2.5;7.1;31;177
5;2011;1009.2;29.3;29;36.1;22.5;2.2;8.5;0.3;226.3
6;2011;1002.3;34.3;24;41.9;26.7;3;10.5;0.001;300
7;2011;999.9;36.85;22;45;28.7;2.6;10.8;0;306.9
8;2011;1000.5;35.8;23;44.3;27.3;2.5;11.5;0;288.3
9;2011;1005.9;31.55;28;40.2;22.9;1.9;10.6;0.001;204
10;2011;1013.7;24.05;40;31.5;16.6;1.8;8.1;6.1;136.4
11;2011;1017.9;14.2;52;21.2;7.2;1.7;7.8;0.8;72
12;2011;1022.3;10.55;59;17.5;3.6;1.9;6.9;2.5;58.9
1;2012;1019.5;10.1;61;16.8;3.4;1.9;6.5;3.9;58.9
2;2012;1017.8;12.35;50;18.4;6.3;2.6;6.5;9.6;84
3;2012;1017.3;15.25;39;22.4;8.1;2.2;8.2;1;127.1
4;2012;1011;24.9;32;32.7;17.1;2.4;8.2;5.4;195
5;2012;1008.4;30.25;25;37.7;22.8;2.3;7.6;0.001;235.6
6;2012;1002.8;34.2;21;43;25.4;2.5;10.6;0;285
7;2012;999.3;37.05;21;46.1;28;2.3;11.5;0;300.7
8;2012;1001.8;35.05;25;44.2;25.9;2.3;11.3;0;275.9
9;2012;1006.9;31.35;28;40.7;22;1.9;10.1;0;204
10;2012;1013.6;26.45;41;34;18.9;1.8;7.1;10.7;139.5
11;2012;1016.9;18.8;66;24.4;13.2;1.5;5.8;83.2;66
12;2012;1019;13.2;71;18.5;7.9;1.8;5.9;70.6;49.6
1;2013;1019.9;11.55;67;16.7;6.4;2.4;6.1;70.8;58.9
2;2013;1018.9;15.05;65;20.7;9.4;2.1;7.8;4.9;75.6
3;2013;1015.2;18.3;43;24.8;11.8;2.2;7.4;0.001;133.3
4;2013;1010.8;23.55;35;31.1;16;2;9.6;0.001;177
5;2013;1008.8;27.3;43;33.8;20.8;2.2;7.3;23.4;195.3
6;2013;1003.1;32.7;24;40.5;24.9;2.8;11.4;0;288
7;2013;999.2;34.8;24;43.3;26.3;3.1;11.4;0;325.5
8;2013;1000.8;33.85;26;43.4;24.3;1.9;11.5;0;251.1
9;2013;1006.5;30.2;29;39.5;20.9;2;10.6;0;207
10;2013;1013.3;22.85;34;31.8;13.9;2.3;9.3;4;161.2
11;2013;1017;17.9;78;22.5;13.3;1.6;4.5;172.7;54
12;2013;1021.6;10.5;71;15.9;5.1;1.8;5.7;20.9;46.5
1;2014;1020.7;11.45;81;16.4;6.5;1.8;5.2;35.8;43.4
2;2014;1018.3;12.6;58;19.1;6.1;1.9;7.9;6.8;72.8
3;2014;1013.8;18.95;52;25.6;12.3;2.2;7.8;23.6;127.1
4;2014;1012.7;24.6;39;31.8;17.4;2.2;8.6;14.3;180
5;2014;1007.5;30.1;26;37.9;22.3;2.5;9.4;0.001;254.2
6;2014;1004.5;33.45;20;41.7;25.2;3;10.9;0.001;306
7;2014;1002.5;35.65;22;44;27.3;3.1;10.9;0;328.6
8;2014;1001.9;36.3;22;45.1;27.5;2.8;10.6;0;306.9
9;2014;1006.9;27.4;28;31.6;23.2;2.1;10.7;0;186
10;2014;1013.7;25.4;41;32.9;17.9;1.9;7.7;4.6;142.6
11;2014;1018.4;16.35;57;22.8;9.9;2.2;7.2;18.5;81
12;2014;1021.6;13.85;65;19.6;8.1;1.8;5.5;3.9;55.8
1;2015;1020.5;10.9;64;17.4;4.4;1.9;5.8;8.2;58.9
2;2015;1016.2;13.75;53;20.6;6.9;1.8;7.1;6.9;75.6
3;2015;1016.6;17.35;43;25.4;9.3;2.2;8.8;26.1;136.4
4;2015;1326.2;22.45;31;30.8;14.1;2.5;10.4;0;198
5;2015;1007.7;29.95;24;38.3;21.6;2.5;9.7;4.5;257.3
6;2015;1004.3;33.55;21;42.1;25;3.1;11.3;0;312
7;2015;1000.3;37.15;18;46.1;28.2;3.1;11.7;0;350.3
8;2015;1002.6;36.85;23;45.8;27.9;2.7;11.5;0.001;306.9
9;2015;1007.4;33.85;26;42.6;25.1;2.1;8.8;0;219
10;2015;1013;27.55;43;34.3;20.8;1.9;6.6;86;142.6
11;2015;1017.5;18.25;62;25.3;11.2;1.6;6.6;32.1;72
12;2015;1020.733333;14.85;69;20.5;9.2;1.8;6.6;28.2;55.8
