Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,67019,1897,12,107.6,Y
IDCJAC0001,67019,1898,01,117.7,Y
IDCJAC0001,67019,1898,02,158.0,Y
IDCJAC0001,67019,1898,03,21.4,Y
IDCJAC0001,67019,1898,04,5.5,Y
IDCJAC0001,67019,1898,05,166.6,Y
IDCJAC0001,67019,1898,06,122.6,Y
IDCJAC0001,67019,1898,07,49.7,Y
IDCJAC0001,67019,1898,08,95.6,Y
IDCJAC0001,67019,1898,09,42.1,Y
IDCJAC0001,67019,1898,10,73.8,Y
IDCJAC0001,67019,1898,11,9.1,Y
IDCJAC0001,67019,1898,12,58.8,Y
IDCJAC0001,67019,1899,01,50.3,Y
IDCJAC0001,67019,1899,02,3.9,Y
IDCJAC0001,67019,1899,03,20.7,Y
IDCJAC0001,67019,1899,04,120.2,Y
IDCJAC0001,67019,1899,05,41.7,Y
IDCJAC0001,67019,1899,06,89.4,Y
IDCJAC0001,67019,1899,07,83.5,Y
IDCJAC0001,67019,1899,08,259.4,Y
IDCJAC0001,67019,1899,09,40.1,Y
IDCJAC0001,67019,1899,10,44.4,Y
IDCJAC0001,67019,1899,11,77.8,Y
IDCJAC0001,67019,1899,12,18.5,Y
IDCJAC0001,67019,1900,01,125.3,Y
IDCJAC0001,67019,1900,02,21.3,Y
IDCJAC0001,67019,1900,03,78.3,Y
IDCJAC0001,67019,1900,04,89.1,Y
IDCJAC0001,67019,1900,05,193.1,Y
IDCJAC0001,67019,1900,06,112.5,Y
IDCJAC0001,67019,1900,07,315.9,Y
IDCJAC0001,67019,1900,08,20.4,Y
IDCJAC0001,67019,1900,09,42.5,Y
IDCJAC0001,67019,1900,10,12.5,Y
IDCJAC0001,67019,1900,11,176.7,Y
IDCJAC0001,67019,1900,12,31.0,Y
IDCJAC0001,67019,1901,01,64.0,Y
IDCJAC0001,67019,1901,02,37.4,Y
IDCJAC0001,67019,1901,03,82.8,Y
IDCJAC0001,67019,1901,04,70.2,Y
IDCJAC0001,67019,1901,05,30.3,Y
IDCJAC0001,67019,1901,06,15.8,Y
IDCJAC0001,67019,1901,07,21.0,Y
IDCJAC0001,67019,1901,08,110.7,Y
